C2,7047,381850,C2,7050,335150
C3,66,406374,,,
C4,16650,196688729,C4,16739,997756517
C5,10379,17623386,C5,10387,26915792
C6,4425,12251627,C6,5016,281349413
C8,3121,11669162,C8,3144,70282853
C9,6818,219235420,C9,229,7233415
C10,406937,19718495274,,,
C11,2,12528,C11,3,8004
C12,19607,235928494,C12,19685,138230583
C15,10672,48945417,C15,253,5016577
C16,12471,12591928,C16,1,240
C17,15173,739692888,C17,16793,2410382117
C18,11085,5214179,,,
C19,24407,80038379,C19,28191,214567754
C21,5696,2305813,,,
C22,2,1496,C22,2,1153
C23,843,195002016,C23,817,23041454
C24,8214,1845591,,,
C25,2610,9789348,C25,2610,16575002
C27,3204,92264231,C27,4068,208901501
C28,10999,471615792,C28,11040,86834619
C29,3681,15040042,C29,3952,195092636
C32,91,702569992,C32,139,24237788
C33,42,5364848,C33,44,16857601
C35,33,25619,C35,33,29427
C38,5161,15717248,C38,5977,308043695
C40,906,214631,,,
C42,46,925028,,,
C43,442,198939,,,
C44,3463,65279984,C44,6527,294915463
C46,9362,18040384,C46,9390,17056690
C47,3266,39565769,,,
C48,2948,17163206,C48,4328,436497894
C49,14897,25285467,C49,14933,41218182
C50,14449,2747884181,C50,14455,1959344631
C51,13244,68705173,C51,13230,59922554
C53,782,621552,,,
C54,4545,16546739,C54,5515,209677817
C55,82,755842,,,
C56,2211,4983949,,,
C58,3329,12888549,C58,3224,1142355
C59,2156,17294388,C59,2173,16528665
C60,426,19335318,C60,418,8567441
C63,13943,940952,,,
C64,9697,29016841,C64,10883,86678893
C66,288,559992,,,
C67,3,3034,C67,1485,128530
C69,1470,10266146,C69,1510,47847186
C70,471,5577996,C70,517,138837932
C72,8,15773,C72,11,5670
C76,4623,1079963,C76,4627,27684359
C77,23,264531,,,
C79,64,30553,C79,71,13326
C81,3247,10860059,C81,7882,179598661
C84,3286,13521619,C84,4617,184575017
C85,3162,9480369,C85,3996,71713990
C86,27,78325,,,
C87,371,1081152,,,
C88,4569,12707639,C88,5332,82948291
C89,4006,143782437,C89,4102,985987636
C90,11,47343,C90,20,22489
C91,2454,17629538,C91,5681,433686277
C94,20,78176,,,
C95,3661,64460928,C95,24558,2543363557
C96,751,6414393,C96,36,190596
C97,6204,478874,,,
C98,1609,161506475,C98,1581,104336669
C99,3,9973,,,
C100,20505,15935668,C100,20545,63233757
C105,16,828,,,
C106,5439,8682038,,,
C109,2516,11987067,C109,5835,221222386
C110,15693,130050089,C110,15675,38377780
C111,2941,220914,,,
C112,7274,10669240,C112,7280,71275865
C113,18841,17841592,C113,58852,1697133354
C115,2,41769,C115,3,1207837
C117,15486,79656659,C117,15236,296033780
C118,42,237050,,,
C121,174,20083002,C121,155,4174436
C122,25233,55835760,C122,27608,486561864
C125,23,18115665,,,
C126,15231,204354891,C126,15234,35087663
C127,4450,12951297,,,
C128,2877,9171355,C128,70815,205146459
C131,5256,3962737,,,
C132,1806,6793830,C132,2285,85634462
C133,4838,12519753,C133,6189,183834592
C134,169,829883,C134,170,320384
C135,2,1386,,,
C136,3071,144188330,C136,3910,5917032004
C137,14949,43671949,,,
C138,5327,11833318,C138,6278,202704034
C140,4168,13003093,C140,4903,180436847
C141,3474,12111598,C141,3480,20646081
C142,2964,12471719,C142,3633,281460941
C143,2263,40654924,C143,2292,224536285
C144,13595,849099,,,
C145,10009,8611657,,,
C148,2872,1637901470,C148,2197,3152361540
C149,7931,16293528,C149,7971,30899784
C150,29914,27490679,C150,29138,38495256
C151,3725,5736132177,C151,3699,326864097
C152,4907,17723820,C152,4985,97589269
C153,4599,288825,,,
C154,17350,65420354,C154,19901,522767908
C156,9252,462351,C156,9254,451000
C157,1964,6068741,C157,4854,164973120
C158,162,604536,,,
C159,32816,67626954,C159,35229,589686568
C160,3051,13573227,C160,16186,317972298
C161,20732,77346481,C161,23626,1383631418
C162,9,124005,,,
C163,3,1432,C163,3,1153
C164,4646,140574365,C164,5559,287622587
C165,3981,19048108,C165,4982,220496856
C166,9,65000,C166,15,45375
C169,3209,10825458,C169,4132,173279269
C171,4,197502,C171,4,62922
C172,4937,16674662,C172,5488,283398077
C173,5335,33348170,C173,6981,251663193
C174,3047,8201656,C174,4954,168504986
C175,4910,17136953,C175,5956,189792393
C177,820,274123063,,,
C178,13897,21715826,C178,13095,26457360
C180,3726,129399381,C180,3745,1347184369
C182,1677,18351584,C182,1820,64079085
C183,65,4278901,C183,55,2086250
C184,3256,14551295,C184,30279,313133279
C185,4593,15863009,C185,4590,13063525
C186,28,19872,,,
C188,4074,21350047,C188,4970,336568917
C189,1249,6321914,C189,1841,12350326
C190,365,384835642,C190,281,7840001
C191,4521,36164046,C191,5829,321981312
C193,3430,199373,C193,3,696
C194,77718,94276809,C194,98077,738012481
C195,17970,1577074482,C195,78,1725285
C196,3367,12438139,C196,5976,185693775
C197,4477,18562831,C197,13069,370196794
C200,4843,18106066,C200,4847,29186086
C201,3327,9847259,C201,4639,186668798
C202,20497,294124471,,,
C203,20067,167390076,C203,219,3577159
C204,24201,318910392,,,
C205,4734,16949807,C205,4741,25262148
C206,11,48005,,,
C207,1063,4005042,,,
C209,599,2222361,,,
C211,91,291342,,,
C214,6563,28623597,C214,7061,216498190
C215,3407,58100918,C215,20271,298419809
C216,5078,13587332,C216,5026,12725705
C217,4362,1920812714,C217,4436,305362253
C218,13584,660314,,,
C219,6089,717466,,,
C220,5767,417487173,C220,5723,473560542
C222,4,8593,,,
C225,2430,10268496,C225,2808,178221669
C228,3957,267399,C228,2,414
C230,795,46206861,C230,2,414
C231,463686,195963401604,C231,513824,10895338765
C232,11669,163274825,C232,289,8024479
C233,3008,9755829,C233,3802,63226718
C234,23,45720,,,
C235,19160,39170842,C235,19159,504154336
C236,4978,13194929,C236,5594,376705704
C240,2938,13103138,C240,3468,283034223
C241,335,9861500,C241,338,10508080
C242,18138,226404988,C242,18181,265989796
C244,3326,10908694,C244,3351,17547511
C245,3,5317,C245,3,3230
C247,69996,270022508,C247,70148,274965632
C248,5560,86519649,C248,6305,2240980355
C252,8,52382,C252,14,31117
C253,17964,50469384,C253,19005,121948174
C254,2498,134369827,C254,2504,404108310
C255,3185,12920166,C255,4822,182449572
C256,10428,51087770,,,
C257,25223,709004275,C257,26768,7096242132
C258,2575,5727436,C258,4131,24699507
C260,3018,11912264,C260,3683,182366507
C261,5706,70525223,C261,5711,246553505
C262,3126,9202330,C262,5730,101836710
C263,4914,14660353,C263,12852,212014982
C264,207,72236979,C264,185,2588862
C265,3301,11386468,C265,5072,210240779
C268,14523,199052098,,,
C269,6154,339707,,,
C270,4181,44924947,C270,4404,101885348
C272,49676,5122721,,,
C273,5251,13063130,C273,5708,197455333
C274,11615,38034295,C274,14015,704303229
C275,2893,10239490,C275,3969,181562536
C276,3257,10924640,C276,4885,173903708
C278,5465,14781001,C278,8453,198364347
C279,57,946274,C279,1,144
C281,9299,17838062,C281,9313,30130971
C282,39197,95517967,C282,40915,510746906
C283,216,3253750,,,
C285,2210,278306209,,,
C286,3712,15304042,C286,3994,196182978
C288,88,3716556,C288,84,590363
C289,11205,32027478,,,
C290,8785,38030735,C290,8031,62359852
C291,5290,127857549,C291,5316,119924930
C292,6910,344553,,,
C293,2871,154080,C293,2,414
C294,3,6558,,,
C295,100,26771,,,
C296,1087,162684679,C296,1017,38421968
C297,9733,13776565,C297,26654,299413564
C298,2953,9489921,C298,3806,187487340
